! Ossenkopf & Henning 1994
! Tab1e 1. Dust opacities at the beginning and after 10^5 years of coagu1ation at 10^6 and 10^8 cm^-3
! for the three different initia1 distributions.
!
! Lambda /             MRN               /        MRN icy mantles         /        MRN thick icy mantles
!(microns)    -        10^6       10^8         -        10^6        10^8       -         10^6        10^8
1.00e+0    9.18e+3    1.18e+4    7.88e+3    1.06e+4    1.31e+4    8.54e+3    1.11e+4    1.04e+4    9.39e+3
1.17e+0    7.85e+3    1.03e+4    7.38e+3    9.06e+3    1.14e+4    7.68e+3    9.41e+3    8.91e+3    8.16e+3
1.36e+0    6.57e+3    8.78e+3    6.96e+3    7.59e+3    9.80e+3    6.93e+3    7.92e+3    7.70e+3    7.16e+3
1.58e+0    5.23e+3    7.04e+3    6.38e+3    6.10e+3    8.01e+3    6.12e+3    6.47e+3    6.54e+3    6.18e+3
1.85e+0    4.14e+3    5.54e+3    5.81e+3    4.89e+3    6.44e+3    5.34e+3    5.34e+3    5.60e+3    5.36e+3
2.15e+0    3.25e+3    4.30e+3    5.18e+3    3.89e+3    5.08e+3    4.55e+3    4.42e+3    4.76e+3    4.61e+3
2.51e+0    2.50e+3    3.27e+3    4.39e+3    3.03e+3    3.90e+3    3.73e+3    3.66e+3    3.97e+3    3.87e+3
2.71e+0    2.21e+3    2.86e+3    3.98e+3    2.69e+3    3.39e+3    3.32e+3    3.38e+3    3.60e+3    3.48e+3
2.82e+0    2.07e+3    2.68e+3    3.78e+3    2.94e+3    3.61e+3    3.54e+3    7.17e+3    7.41e+3    7.05e+3
2.93e+0    1.95e+3    2.52e+3    3.57e+3    5.41e+3    6.56e+3    6.30e+3    3.13e+4    3.14e+4    2.66e+4
3.04e+0    1.84e+3    2.36e+3    3.38e+3    5.06e+3    6.24e+3    6.19e+3    3.31e+4    3.51e+4    3.03e+4
3.16e+0    1.73e+3    2.22e+3    3.18e+3    3.40e+3    4.34e+3    4.56e+3    1.64e+4    1.94e+4    1.94e+4
3.29e+0    1.62e+3    2.08e+3    2.99e+3    2.27e+3    2.94e+3    3.14e+3    5.11e+3    6.22e+3    6.66e+3
3.41e+0    1.52e+3    1.95e+3    2.79e+3    1.98e+3    2.54e+3    2.72e+3    3.06e+3    3.69e+3    3.89e+3
3.55e+0    1.42e+3    1.81e+3    2.60e+3    1.82e+3    2.32e+3    2.51e+3    2.55e+3    3.07e+3    3.20e+3
3.69e+0    1.36e+3    1.72e+3    2.45e+3    1.68e+3    2.13e+3    2.31e+3    1.85e+3    2.22e+3    2.29e+3
3.83e+0    1.29e+3    1.64e+3    2.32e+3    1.61e+3    2.03e+3    2.21e+3    1.82e+3    2.17e+3    2.22e+3
3.98e+0    1.24e+3    1.56e+3    2.20e+3    1.53e+3    1.93e+3    2.11e+3    1.71e+3    2.04e+3    2.09e+3
4.30e+0    1.12e+3    1.41e+3    1.96e+3    1.41e+3    1.76e+3    1.95e+3    1.76e+3    2.07e+3    2.12e+3
4.64e+0    1.O1e+3    1.27e+3    1.75e+3    1.31e+3    1.63e+3    1.81e+3    1.89e+3    2.21e+3    2.28e+3
5.01e+0    9.19e+2    1.15e+3    1.57e+3    1.15e+3    1.42e+3    1.59e+3    1.27e+3    1.50e+3    1.52e+3
5.41e+0    8.40e+2    1.05e+3    1.41e+3    1050.0     1.29e+3    1.44e+3    1.16e+3    1.35e+3    1.37e+3
5.84e+0    7.90e+2    9.82e+2    1.30e+3    1.13e+3    1.37e+3    1.53e+3    2.58e+3    2.88e+3    2.96e+3
6.31e+0    7.65e+2    9.48e+2    1.24e+3    1.O8e+3    1.30e+3    1.47e+3    2.28e+3    2.58e+3    2.69e+3
6.81e+0    7.39e+2    9.14e+2    1.18e+3    1.03e+3    1.25e+3    1.40e+3    2.11e+3    2.39e+3    2.49e+3
7.36e+0    7.14e+2    8.80e+2    1.12e+3    9.28e+2    1.12e+3    1.26e+3    1.35e+3    1.55e+3    1.60e+3
7.94e+0    7.06e+2    8.62e+2    1.08e+3    8.80e+2    1.06e+3    1.18e+3    1050.0     1.21e+3    1.23e+3
8.58e+0    7.97e+2    9.47e+2    1.16e+3    9.39e+2    1.10e+3    1.22e+3    9.80e+2    1.11e+3    1.12e+3
8.91e+0    1.O8e+3    1.25e+3    1.49e+3    1.25e+3    1.43e+3    1.56e+3    1.59e+3    1.74e+3    1.78e+3
9.26e+0    1.41e+3    1.59e+3    1.86e+3    1.53e+3    1.72e+3    1.86e+3    1.57e+3    1.70e+3    1.71e+3
9.62e+0    1.79e+3    2.01e+3    2.32e+3    1.98e+3    2.20e+3    2.35e+3    2.64e+3    2.77e+3    2.78e+3
9.81e+0    1.96e+3    2.20e+3    2.53e+3    2.40e+3    2.68e+3    2.86e+3    5.19e+3    5.48e+3    5.50e+3
1.00e+1    2.07e+3    2.35e+3    2.74e+3    2.27e+3    2.58e+3    2.78e+3    2.90e+3    3.14e+3    3.21e+3
1.04e+1    1.91e+3    2.26e+3    2.72e+3    2.18e+3    2.52e+3    2.72e+3    3.28e+3    3.48e+3    3.50e+3
1.08e+1    1.62e+3    1.99e+3    2.49e+3    2.10e+3    2.48e+3    2.71e+3    4.83e+3    5.10e+3    5.08e+3
1.12e+1    1.42e+3    1.79e+3    2.30e+3    2.14e+3    2.55e+3    2.82e+3    6.67e+3    7.06e+3    6.98e+3
1.17e+1    1.18e+3    1.54e+3    2.05e+3    2.05e+3    2.51e+3    2.83e+3    7.98e+3    8.52e+3    8.45e+3
1.26e+1    7.54e+2    9.95e+2    1.33e+3    1.58e+3    1.96e+3    2.29e+3    8.16e+3    8.87e+3    9.05e+3
1.36e+1    6.37e+2    8.18e+2    1.06e+3    1.30e+3    1.60e+3    1.87e+3    6.82e+3    7.57e+3    8.02e+3
1.47e+1    5.99e+2    7.56e+2    9.58e+2    1.09e+3    1.35e+3    1.58e+3    5.12e+3    5.81e+3    6.34e+3
1.58e+1    7.13e+2    8.68e+2    1.06e+3    1.09e+3    1.33e+3    1.53e+3    4.05e+3    4.63e+3    5.08e+3
1.71e+1    9.37e+2    1.13e+3    1.37e+3    1.24e+3    1.51e+3    1.73e+3    3.52e+3    4.06e+3    4.47e+3
1.85e+1    9.59e+2    1.22e+3    1.52e+3    1.25e+3    1.58e+3    1.84e+3    3.13e+3    3.70e+3    4.10e+3
2.00e+1    7.47e+2    1.02e+3    1.36e+3    9.97e+2    1.34e+3    1.61e+3    2.46e+3    3.00e+3    3.36e+3
2.15e+1    5.91e+2    8.34e+2    1.16e+3    7.90e+2    1.10e+3    1.33e+3    1.83e+3    2.27e+3    2.56e+3
2.51e+1    4.11e+2    6.05e+2    8.71e+2    5.34e+2    7.68e+2    9.42e+2    9.78e+2    1.25e+3    1.39e+3
2.93e+1    3.03e+2    4.56e+2    6.68e+2    3.74e+2    5.45e+2    6.65e+2    4.42e+2    5.84e+2    6.34e+2
3.41e+1    2.23e+2    3.45e+2    5.17e+2    3.14e+2    4.51e+2    5.45e+2    7.01e+2    8.36e+2    8.93e+2
3.69e+1    1.92e+2    3.01e+2    4.54e+2    3.05e+2    4.34e+2    5.23e+2    9.31e+2    1.08e+3    1.16e+3
3.98e+1    1.68e+2    2.63e+2    3.97e+2    3.02e+2    4.27e+2    5.16e+2    1.18e+3    1.36e+3    1.45e+3
4.30e+1    1.46e+2    2.30e+2    3.45e+2    3.00e+2    4.21e+2    5.12e+2    1.42e+3    1.63e+3    1.75e+3
4.64e+1    1.25e+2    1.98e+2    2.98e+2    2.72e+2    3.87e+2    4.76e+2    1.41e+3    1.65e+3    1.81e+3
5.41e+1    9.05e+1    1.45e+2    2.19e+2    1.92e+2    2.80e+2    3.48e+2    9.79e+2    1.19e+3    1.34e+3
6.31e+1    7.16e+1    1.16e+2    1.76e+2    1.43e+2    2.11e+2    2.63e+2    6.59e+2    8.21e+2    9.37e+2
