! 2 formats possible:
!  1. Year   TT-UT1 (seconds). Year with decimals optionally.
!  2. Year month day TT-UT1 (seconds), for better accuracy within the years.
!     Second format requires 4 fields separated by spaces. Otherwise format 1 is used.
! Year  TT-UT1  Error estimate (s)    See Morrison and Stephenson 2004
-500   17190   430
-400   15530   390
-300   14080   360
-200   12790   330
-100   11640   290
0      10580   260
100    9600    240
200    8640    210
300    7680    180
400    6700    160
500    5710    140
600    4740    120
700    3810    100
800    2960    80
900    2200    70
1000   1570    55
1100   1090    40
1200   740     30
1300   490     20
1400   320     20
1500   200     20
1600   120     20
1610   122     20   !  Added to smooth the transition
! AA 1992
1620   124.0
1621   119.0
1622   115.0
1623   110.0
1624   106.0
1625   102.0
1626   98.0
1627   95.0
1628   91.0
1629   88.0
1630   85.0
1631   82.0
1632   79.0
1633   77.0
1634   74.0
1635   72.0
1636   70.0
1637   67.0
1638   65.0
1639   63.0
1640   62.0
1641   60.0
1642   58.0
1643   57.0
1644   55.0
1645   54.0
1646   53.0
1647   51.0
1648   50.0
1649   49.0
1650   48.0
1651   47.0
1652   46.0
1653   46.0   ! Was 45. This and next 3 values slightly modified for a smooth transition
1654   45.0   ! Was 44. Uncertainty is higher than 10s so it doesn't matter
1655   45.0   ! Was 43
1656   44.0   ! Was 42
! Data from http://maia.usno.navy.mil/ser7/historic_deltat.data
!  Year    TDT-UT1    error     LOD      error
!             (s)      (s)      (ms)     (ms)
1657.000     44       12        -4       41
1657.500     43       15        -5       48
1658.000     43       10        -6       58
1658.500     41       10        -6       38
1659.000     40       12        -6       37
1659.500     39       14        -5       45
1660.000     38       15        -4       53
1660.500     37       16        -3       59
1661.000     37       16        -2       62
1661.500     36       16        -1       63
1662.000     36       15         1       62
1662.500     36       15         2       60
1663.000     37        9         2       59
1663.500     37        9         0       33
1664.000     38        7        -1       35
1664.500     37        7        -3       27
1665.000     36        9        -4       28
1665.500     36       11        -4       35
1666.000     35       13        -3       43
1666.500     35       14        -3       49
1667.000     34       15        -3       54
1667.500     33       15        -3       58
1668.000     33       15        -3       60
1668.500     32       15        -3       59
1669.000     32       14        -3       58
1669.500     31       13        -3       55
1670.000     31       12        -3       51
1670.500     30       11        -3       47
1671.000     30        6        -2       44
1671.500     29        7        -1       24
1672.000     29        6        -1       29
1672.500     29       11        -1       22
1673.000     29       10        -1       44
1673.500     29       11        -2       37
1674.000     28        9        -3       44
1674.500     28        9        -3       36
1675.000     27       10        -3       33
1675.500     27       12        -3       40
1676.000     26        8        -3       47
1676.500     26        9        -2       31
1677.000     25       11        -1       34
1677.500     25       12         0       41
1678.000     25        8         1       46
1678.500     26       11         1       30
1679.000     26        9         0       42
1679.500     26       11        -1       34
1680.000     26        9        -2       41
1680.500     25        9        -2       33
1681.000     25       11        -2       36
1681.500     25       12        -1       42
1682.000     24        8        -1       48
1682.500     24       10        -1       31
1683.000     24        8        -1       40
1683.500     24       10        -1       32
1684.000     24        8         0       40
1684.500     24       11         0       32
1685.000     24        8         0       41
1685.500     24       10         0       33
1686.000     24        8        -1       40
1686.500     24        9        -1       32
1687.000     23        9        -2       33
1687.500     23       11        -1       36
1688.000     23       12        -1       41
1688.500     23       13        -1       46
1689.000     22       14        -1       51
1689.500     22       15        -1       56
1690.000     22       16        -1       60
1690.500     22       17        -1       64
1691.000     22       18        -1       67
1691.500     21       18        -1       69
1692.000     21       19        -1       71
1692.500     21       19        -1       73
1693.000     21       19        -1       74
1693.500     21       19        -1       74
1694.000     21       19        -1       74
1694.500     21       18         0       73
1695.000     21       18         0       71
1695.500     20       17         0       69
1696.000     20       17         0       67
1696.500     20       16         0       65
1697.000     20       15         0       62
1697.500     20       15         0       59
1698.000     20       14         0       57
1698.500     20       14         0       55
1699.000     20        8         0       55
1699.500     20        8         0       32
1700.000     21       10         0       33
1700.500     21       12         0       38
1701.000     21        8        -1       45
1701.500     20        7        -1       31
1702.000     20        8        -1       27
1702.500     20       10        -1       33
1703.000     20       11        -1       38
1703.500     20       11        -1       41
1704.000     19       11        -1       42
1704.500     19       11        -1       43
1705.000     19        6         0       43
1705.500     19        7         1       24
1706.000     19        6         1       28
1706.500     20        9         0       22
1707.000     20        7         0       34
1707.500     20        7         0       28
1708.000     20        8         0       27
1708.500     19       10         1       32
1709.000     20        6         1       37
1709.500     20        7         1       24
1710.000     20        6         1       28
1710.500     20        8         1       23
1711.000     20        6         1       30
1711.500     20        8         1       24
1712.000     21        6         1       30
1712.500     21        8         0       24
1713.000     21        7         0       31
1713.500     21        8         0       25
1714.000     21        7         0       33
1714.500     21        9         0       26
1715.000     21        7         0       33
1715.500     21        8         0       27
1716.000     21        9         0       29
1716.500     21       10         1       35
1717.000     21        7         1       39
1717.500     21        8         0       26
1718.000     21        6         0       30
1718.500     21        8         0       24
1719.000     21        6         0       29
1719.500     21        7         0       23
1720.000     21.1      5.7      -0.2     27.4
1720.500     21.0      5.1      -0.3     22.2
1721.000     21.0      5.5      -0.3     19.6
1721.500     21.0      6.0      -0.3     21.3
1722.000     20.9      6.6      -0.4     23.4
1722.500     20.8      7.1      -0.6     25.5
1723.000     20.7      7.5      -0.8     27.4
1723.500     20.6      7.8      -0.9     29.0
1724.000     20.4      8.1      -1.1     30.3
1724.500     20.2      8.3      -1.3     31.3
1725.000     20.0      8.4      -1.4     32.1
1725.500     19.7      8.6      -1.6     32.7
1726.000     19.4      8.8      -1.9     33.2
1726.500     19.1      9.0      -2.1     33.9
1727.000     18.7      4.9      -2.3     34.9
1727.500     18.3      4.4      -2.3     18.9
1728.000     17.8      5.2      -2.1     17.0
1728.500     17.4      6.3      -1.8     20.2
1729.000     17.0      4.1      -1.5     24.4
1729.500     16.8      3.3      -1.3     15.8
1730.000     16.6      3.6      -1.2     12.8
1730.500     16.4      3.9      -1.2     13.8
1731.000     16.1      4.3      -1.2     15.1
1731.500     15.9      4.7      -1.2     16.5
1732.000     15.7      5.1      -1.2     18.1
1732.500     15.5      5.6      -1.4     19.8
1733.000     15.3      3.2      -1.5     21.6
1733.500     15.0      2.8      -1.4     12.4
1734.000     14.7      3.3      -1.2     10.8
1734.500     14.5      3.7      -1.0     12.8
1735.000     14.3      4.1      -0.6     14.5
1735.500     14.2      4.3      -0.3     15.7
1736.000     14.1      2.5      -0.2     16.8
1736.500     14.1      2.4      -0.4      9.7
1737.000     14.1      1.8      -0.7      9.3
1737.500     13.9      1.8      -0.8      7.0
1738.000     13.7      1.4      -0.6      7.0
1738.500     13.6      1.6      -0.4      5.3
1739.000     13.5      1.3      -0.3      6.2
1739.500     13.5      2.8      -0.2      5.0
1740.000     13.5      3.5      -0.1     10.8
1740.500     13.5      4.3      -0.2     13.6
1741.000     13.4      4.9      -0.2     16.6
1741.500     13.4      5.4      -0.2     19.1
1742.000     13.4      5.7      -0.2     21.0
1742.500     13.4      5.9      -0.2     22.2
1743.000     13.3      5.8      -0.2     22.7
1743.500     13.3      5.6      -0.2     22.6
1744.000     13.2      5.2      -0.2     21.7
1744.500     13.2      4.8      -0.2     20.3
1745.000     13.2      4.2      -0.2     18.4
1745.500     13.1      3.8      -0.2     16.3
1746.000     13.1      2.4      -0.1     14.6
1746.500     13.1      2.9       0.1      9.3
1747.000     13.0      2.3       0.4     11.2
1747.500     13.2      2.5       0.6      9.1
1748.000     13.3      3.1       0.7      9.6
1748.500     13.4      3.6       0.6     11.8
1749.000     13.5      4.1       0.6     14.1
1749.500     13.6      4.4       0.5     15.9
1750.000     13.7      4.6       0.5     17.2
1750.500     13.8      4.6       0.4     17.8
1751.000     13.9      4.5       0.4     17.9
1751.500     14.0      4.3       0.3     17.4
1752.000     14.0      4.0       0.3     16.6
1752.500     14.1      3.8       0.2     15.6
1753.000     14.1      2.2       0.2     14.8
1753.500     14.1      2.3       0.3      8.4
1754.000     14.1      1.8       0.4      9.1
1754.500     14.2      1.9       0.4      7.1
1755.000     14.3      2.2       0.4      7.2
1755.500     14.4      2.5       0.4      8.6
1756.000     14.4      2.6       0.3      9.6
1756.500     14.5      2.8       0.3     10.2
1757.000     14.6      1.7       0.3     10.7
1757.500     14.6      1.9       0.2      6.4
1758.000     14.7      1.6       0.2      7.5
1758.500     14.7      1.9       0.2      6.0
1759.000     14.7      2.3       0.2      7.3
1759.500     14.8      2.8       0.2      9.1
1760.000     14.8      3.2       0.3     10.9
1760.500     14.9      3.4       0.3     12.3
1761.000     14.9      3.6       0.3     13.3
1761.500     15.0      3.5       0.4     13.7
1762.000     15.0      3.4       0.4     13.7
1762.500     15.1      3.2       0.4     13.3
1763.000     15.2      3.0       0.5     12.5
1763.500     15.3      2.8       0.5     11.6
1764.000     15.4      1.6       0.5     10.8
1764.500     15.5      1.9       0.4      6.4
1765.000     15.6      1.5       0.4      7.5
1765.500     15.6      1.9       0.5      6.0
1766.000     15.6      1.5       0.7      7.4
1766.500     15.8      1.4       0.5      6.0
1767.000     15.9      1.0       0.1      5.3
1767.500     15.9      1.2      -0.2      3.8
1768.000     15.9      0.9      -0.3      4.5
1768.500     15.8      1.2      -0.3      3.5
1769.000     15.7      0.9      -0.1      4.5
1769.500     15.8      1.2      -0.1      3.6
1770.000     15.7      0.9      -0.2      4.5
1770.500     15.7      1.1       0.0      3.6
1771.000     15.7      0.9       0.3      4.4
1771.500     15.8      1.2       0.6      3.5
1772.000     15.9      1.0       0.7      4.7
1772.500     16.1      1.1       0.3      3.8
1773.000     16.1      0.9      -0.3      4.3
1773.500     16.0      0.8      -0.5      3.4
1774.000     15.9      0.6      -0.6      3.2
1774.500     15.9      1.2      -0.8      2.3
1775.000     15.7      1.0      -1.0      4.7
1775.500     15.4      1.4      -0.6      3.9
1776.000     15.3      1.2       0.0      5.6
1776.500     15.4      1.8       0.4      4.6
1777.000     15.5      1.5       0.4      6.9
1777.500     15.6      1.8       0.2      5.7
1778.000     15.6      1.4       0.1      7.0
1778.500     15.6      1.8       0.0      5.6
1779.000     15.6      1.5       0.0      6.9
1779.500     15.6      1.6      -0.1      5.6
1780.000     15.6      1.9      -0.1      6.1
1780.500     15.6      2.2      -0.2      7.4
1781.000     15.5      2.3      -0.3      8.4
1781.500     15.5      2.4      -0.4      9.1
1782.000     15.4      2.4      -0.5      9.3
1782.500     15.3      2.4      -0.6      9.2
1783.000     15.2      1.4      -0.7      9.1
1783.500     15.1      1.7      -0.8      5.4
1784.000     14.9      1.3      -0.9      6.5
1784.500     14.8      1.7      -0.9      5.2
1785.000     14.6      1.4      -0.9      6.7
1785.500     14.4      1.8      -0.8      5.3
1786.000     14.3      1.5      -0.6      7.0
1786.500     14.2      1.7      -0.1      5.7
1787.000     14.1      1.3       0.3      6.5
1787.500     14.2      1.1      -0.2      5.1
1788.000     14.2      0.7      -1.1      4.2
1788.500     13.9      1.0      -1.3      2.8
1789.000     13.7      0.8      -1.2      3.7
1789.500     13.5      1.0      -1.0      3.0
1790.000     13.3      0.8      -0.7      3.9
1790.500     13.1      1.3      -0.3      3.2
1791.000     13.0      1.1       0.0      5.0
1791.500     13.2      1.8       0.0      4.1
1792.000     13.2      1.5       0.0      7.0
1792.500     13.1      1.8       0.1      5.9
1793.000     13.1      1.4       0.4      7.0
1793.500     13.2      1.8       0.6      5.6
1794.000     13.3      1.5       0.5      7.0
1794.500     13.5      1.9       0.1      5.6
1795.000     13.5      1.5      -0.3      7.3
1795.500     13.4      2.3      -0.5      5.8
1796.000     13.2      1.9      -0.4      9.0
1796.500     13.2      2.4      -0.3      7.4
1797.000     13.1      1.9      -0.4      9.3
1797.500     13.1      2.3      -0.6      7.5
1798.000     13.0      1.9      -0.8      9.1
1798.500     12.8      2.1      -0.7      7.2
1799.000     12.6      1.7      -0.6      8.3
1799.500     12.7      2.4      -0.7      6.5
1800.000     12.6      1.9      -0.9      9.2
1800.500     12.3      2.4      -1.1      7.5
1801.000     12.0      2.0      -1.0      9.4
1801.500     11.9      2.4      -0.9      7.6
1802.000     11.8      1.9      -0.9      9.3
1802.500     11.6      2.5      -1.0      7.4
1803.000     11.4      2.0      -0.9      9.8
1803.500     11.2      2.3      -0.6      7.9
1804.000     11.1      1.8      -0.2      9.0
1804.500     11.1      2.2       0.0      7.0
1805.000     11.1      1.8       0.1      8.5
1805.500     11.1      1.8       0.1      6.8
1806.000     11.1      2.1       0.1      6.9
1806.500     11.2      2.4       0.1      8.2
1807.000     11.1      1.5       0.2      9.4
1807.500     11.1      2.0       0.5      6.0
1808.000     11.2      1.6       0.8      7.7
1808.500     11.4      1.5       0.3      6.2
1809.000     11.5      1.1      -0.2      5.7
1809.500     11.3      1.2      -0.2      4.2
1810.000     11.2      1.5       0.5      4.8
1810.500     11.4      1.0       0.9      5.9
1811.000     11.7      2.1       0.8      4.1
1811.500     11.9      1.8       0.4      8.3
1812.000     11.9      2.6      -0.1      7.0
1812.500     11.9      2.2      -0.2     10.2
1813.000     11.8      2.6      -0.1      8.3
1813.500     11.7      2.1       0.0     10.3
1814.000     11.8      2.6       0.0      8.2
1814.500     11.8      2.1      -0.1     10.2
1815.000     11.8      2.7      -0.2      8.3
1815.500     11.7      3.1      -0.3     10.4
1816.000     11.6      3.5      -0.4     12.2
1816.500     11.6      2.4      -0.4     13.7
1817.000     11.5      3.0      -0.3      9.3
1817.500     11.5      2.4      -0.3     11.5
1818.000     11.4      2.9      -0.2      9.2
1818.500     11.4      2.3      -0.3     11.2
1819.000     11.3      2.8      -0.4      8.9
1819.500     11.3      2.2      -0.3     10.8
1820.000     11.13     2.15     -0.48     8.61
1820.500     11.16     1.60     -0.86     8.34
1821.000     10.94     1.86     -1.48     6.21
1821.500     10.72     1.47     -1.85     7.20
1822.000     10.29     1.14     -1.38     5.68
1822.500     10.04     0.75     -0.62     4.42
1823.000      9.94     0.68     -0.28     2.92
1823.500      9.91     0.48     -0.20     2.62
1824.000      9.88     1.07     -0.28     1.86
1824.500      9.86     0.91     -0.43     4.14
1825.000      9.72     1.16     -0.34     3.54
1825.500      9.67     0.93     -0.17     4.49
1826.000      9.66     1.04     -0.25     3.60
1826.500      9.64     0.81     -0.51     4.04
1827.000      9.51     1.31     -0.74     3.13
1827.500      9.40     1.10     -0.96     5.09
1828.000      9.21     1.06     -1.37     4.25
1828.500      9.00     0.79     -1.76     4.11
1829.000      8.60     0.96     -1.84     3.05
1829.500      8.29     0.77     -1.65     3.73
1830.000      7.95     0.88     -1.28     2.98
1830.500      7.73     0.69     -0.89     3.41
1831.000      7.59     1.11     -0.67     2.66
1831.500      7.49     0.92     -0.64     4.29
1832.000      7.36     1.53     -0.66     3.55
1832.500      7.26     1.27     -0.68     5.91
1833.000      7.10     1.59     -0.64     4.93
1833.500      7.00     1.27     -0.56     6.14
1834.000      6.89     1.56     -0.49     4.91
1834.500      6.82     1.25     -0.49     6.05
1835.000      6.73     1.27     -0.80     4.84
1835.500      6.64     0.97     -1.11     4.92
1836.000      6.39     0.52     -0.74     3.75
1836.500      6.28     0.12     -0.09     2.01
1837.000      6.25     0.24     -0.02     0.48
1837.500      6.27     0.21      0.01     0.94
1838.000      6.25     0.28     -0.03     0.80
1838.500      6.27     0.23     -0.10     1.08
1839.000      6.22     0.27     -0.04     0.87
1839.500      6.24     0.21      0.04     1.03
1840.000      6.22     0.28      0.13     0.81
1840.500      6.27     0.23      0.28     1.08
1841.000      6.30     0.22      0.19     0.87
1841.500      6.36     0.16      0.08     0.86
1842.000      6.35     0.59     -0.02     0.61
1842.500      6.37     0.51     -0.10     2.28
1843.000      6.32     0.64     -0.04     1.98
1843.500      6.33     0.51      0.07     2.49
1844.000      6.33     0.72      0.11     1.99
1844.500      6.37     0.59      0.11     2.81
1845.000      6.37     0.69      0.09     2.30
1845.500      6.41     0.54      0.07     2.66
1846.000      6.40     0.47      0.11     2.11
1846.500      6.44     0.33      0.20     1.81
1847.000      6.46     0.41      0.13     1.28
1847.500      6.51     0.33      0.01     1.59
1848.000      6.48     0.41      0.06     1.27
1848.500      6.51     0.33      0.17     1.61
1849.000      6.53     0.57      0.14     1.28
1849.500      6.58     0.47      0.07     2.20
1850.000      6.55     0.70      0.22     1.84
1850.500      6.61     0.58      0.45     2.71
1851.000      6.69     0.73      0.48     2.23
1851.500      6.80     0.58      0.41     2.82
1852.000      6.84     0.76      0.44     2.26
1852.500      6.94     0.61      0.49     2.95
1853.000      7.03     0.87      0.42     2.37
1853.500      7.13     0.71      0.29     3.38
1854.000      7.15     0.84      0.26     2.77
1854.500      7.22     0.66      0.26     3.23
1855.000      7.26     0.81      0.09     2.55
1855.500      7.30     0.65     -0.16     3.14
1856.000      7.23     0.74     -0.14     2.50
1856.500      7.22     0.58      0.03     2.87
1857.000      7.21     0.49     -0.27     2.26
1857.500      7.20     0.34     -0.82     1.91
1858.000      6.99     0.37     -0.17     1.33
1858.500      6.98     0.28      0.72     1.45
1859.000      7.19     0.71      0.73     1.08
1859.500      7.36     0.61      0.25     2.74
1860.000      7.35     0.70      0.12     2.36
1860.500      7.39     0.51      0.19     2.70
1861.000      7.41     0.49      0.07     1.97
1861.500      7.45     0.44     -0.41     1.89
1862.000      7.36     0.32     -1.04     1.71
1862.500      7.18     0.18     -1.18     1.24
1863.000      6.95     0.06     -1.34     0.69
1863.500      6.72     0.08     -1.37     0.22
1864.000      6.45     0.06     -1.30     0.29
1864.500      6.24     0.22     -1.60     0.22
1865.000      5.92     0.19     -1.92     0.84
1865.500      5.59     0.21     -2.30     0.73
1866.000      5.15     0.16     -2.78     0.80
1866.500      4.67     0.14     -2.95     0.62
1867.000      4.11     0.09     -3.27     0.53
1867.500      3.52     0.26     -3.06     0.36
1868.000      2.94     0.22     -2.72     1.00
1868.500      2.47     0.24     -2.64     0.86
1869.000      1.97     0.18     -2.56     0.93
1869.500      1.52     0.28     -2.54     0.72
1870.000      1.04     0.23     -2.52     1.08
1870.500      0.60     0.38     -2.54     0.89
1871.000      0.11     0.31     -2.58     1.45
1871.500     -0.34     0.36     -2.52     1.21
1872.000     -0.82     0.29     -2.45     1.41
1872.500     -1.25     0.37     -2.34     1.11
1873.000     -1.70     0.30     -2.22     1.44
1873.500     -2.08     0.38     -2.10     1.16
1874.000     -2.48     0.31     -1.96     1.48
1874.500     -2.82     0.24     -1.89     1.19
1875.000     -3.19     0.16     -1.85     0.95
1875.500     -3.50     0.22     -1.75     0.63
1876.000     -3.84     0.18     -1.73     0.86
1876.500     -4.14     0.25     -1.45     0.69
1877.000     -4.43     0.20     -1.05     0.95
1877.500     -4.59     0.16     -0.96     0.78
1878.000     -4.79     0.10     -0.84     0.61
1878.500     -4.92     0.11     -0.80     0.40
1879.000     -5.09     0.08     -0.91     0.41
1879.500     -5.24     0.14     -0.55     0.31
1880.000     -5.36     0.12     -0.04     0.55
1880.500     -5.34     0.11      0.01     0.46
1881.000     -5.37     0.08      0.13     0.44
1881.500     -5.32     0.12      0.02     0.33
1882.000     -5.34     0.10     -0.08     0.45
1882.500     -5.33     0.11     -0.24     0.37
1883.000     -5.40     0.09     -0.51     0.43
1883.500     -5.47     0.12     -0.48     0.33
1884.000     -5.58     0.10     -0.57     0.46
1884.500     -5.66     0.12     -0.28     0.37
